AssetsHeldForSaleCurrent;3608000000.0;2490000000.0;785000000.0;2564000000.0
RestrictedCash;;;;0.0
Inventory;8779000000.0;7255000000.0;5677000000.0;8189000000.0
FinishedGoods;7756000000.0;6451000000.0;4723000000.0;6994000000.0
RawMaterials;1023000000.0;804000000.0;954000000.0;1195000000.0
Receivables;6317000000.0;7714000000.0;7326000000.0;7306000000.0
TaxesReceivable;1307000000.0;1346000000.0;2595000000.0;3544000000.0
AccountsReceivable;5010000000.0;6368000000.0;4731000000.0;3762000000.0
CashCashEquivalentsAndShortTermInvestments;10769000000.0;11117000000.0;12370000000.0;8260000000.0
OtherShortTermInvestments;2773000000.0;650000000.0;659000000.0;888000000.0
CashAndCashEquivalents;7996000000.0;10467000000.0;11711000000.0;7372000000.0
CashEquivalents;7780000000.0;10168000000.0;11159000000.0;6800000000.0
CashFinancial;216000000.0;299000000.0;552000000.0;572000000.0
